step,critic_loss,bellman_loss,actor_loss,eval_return,eval_success
1,4.787939071655273,2.0009348392486572,0.03206617012619972,,
2,4.770443916320801,1.966355562210083,0.022285228595137596,,
3,4.67757511138916,1.8942725658416748,0.006078088656067848,,
4,4.634646892547607,1.8611057996749878,-0.007025556173175573,,
5,4.595810890197754,1.8222010135650635,-0.023911522701382637,,
6,4.634023189544678,1.822121262550354,-0.030087772756814957,,
7,4.559226036071777,1.7705796957015991,-0.044796448200941086,,
8,4.475076675415039,1.7089920043945312,-0.059605374932289124,,
9,4.399269104003906,1.640221357345581,-0.07268202304840088,,
10,4.394176483154297,1.6286914348602295,-0.08801472187042236,,
11,4.434116363525391,1.6357684135437012,-0.09530539810657501,,
12,4.374859809875488,1.5792722702026367,-0.11276958882808685,,
13,4.3195085525512695,1.5499773025512695,-0.12008152157068253,,
14,4.289422035217285,1.5184917449951172,-0.1300649493932724,,
15,4.2779412269592285,1.4853156805038452,-0.1462259739637375,,
16,4.205963134765625,1.433708906173706,-0.1563221514225006,,
17,4.16398811340332,1.3942341804504395,-0.17493905127048492,,
18,4.176407814025879,1.415639042854309,-0.17270563542842865,,
19,4.1980133056640625,1.3997044563293457,-0.18561366200447083,,
20,4.109196662902832,1.3353347778320312,-0.20031006634235382,,
21,4.123832702636719,1.3431451320648193,-0.20586305856704712,,
22,4.016149520874023,1.2561755180358887,-0.2305140644311905,,
23,4.041921615600586,1.2785930633544922,-0.23077307641506195,,
24,4.017047882080078,1.233293056488037,-0.24186058342456818,,
25,3.997978448867798,1.2227208614349365,-0.24758067727088928,,
26,3.9409008026123047,1.182163953781128,-0.26381272077560425,,
27,3.966217041015625,1.1934089660644531,-0.2660441994667053,,
28,3.960137128829956,1.179703950881958,-0.27552810311317444,,
29,3.8983983993530273,1.1235421895980835,-0.29936763644218445,,
30,3.8978843688964844,1.1163015365600586,-0.3048757314682007,,
31,3.808414936065674,1.0526880025863647,-0.32888540625572205,,
32,3.771395444869995,1.0427343845367432,-0.335915744304657,,
33,3.8130297660827637,1.0499286651611328,-0.32405322790145874,,
34,3.767056465148926,1.0086638927459717,-0.34201422333717346,,
35,3.7713894844055176,1.0278723239898682,-0.3475368022918701,,
36,3.714850902557373,0.9496793746948242,-0.3768087327480316,,
37,3.6685566902160645,0.9097567796707153,-0.3953125476837158,,
38,3.6694319248199463,0.9021284580230713,-0.42314350605010986,,
39,3.704456090927124,0.9174139499664307,-0.40067604184150696,,
40,3.7180018424987793,0.9378073215484619,-0.39572790265083313,,
41,3.602024555206299,0.8280638456344604,-0.4373422861099243,,
42,3.560380220413208,0.8018524646759033,-0.45437949895858765,,
43,3.5532901287078857,0.7594828605651855,-0.48933035135269165,,
44,3.5956871509552,0.8406661152839661,-0.4460298418998718,,
